lp,"nr pasażera PEKA",data,linia - kierunek,"godzina wejścia","godzina wyjścia","czas podróży(min)","przystanek wejściowy","przystanek wyjściowy","liczba przejechanych przystanków"
243,243,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
244,244,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
245,245,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
246,246,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
247,247,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
248,248,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
249,249,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
250,250,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
251,251,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
252,252,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
253,253,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
254,254,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
255,255,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
256,256,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
257,257,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
258,258,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
259,259,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
260,260,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
261,261,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
262,262,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
263,263,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
264,264,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
265,265,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
266,266,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
267,267,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
268,268,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
269,269,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
270,270,2025-10-16,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
271,271,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
272,272,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
273,273,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
274,274,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
275,275,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
276,276,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
277,277,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
278,278,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
279,279,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
280,280,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
281,281,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
282,282,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
283,283,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
284,284,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
285,285,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
286,286,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
287,287,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
288,288,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
289,289,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
290,290,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
291,291,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
292,292,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
293,293,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
294,294,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
295,295,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
296,296,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
297,297,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
298,298,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
299,299,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
300,300,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
301,301,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
302,302,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
303,303,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
304,304,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
305,305,2025-10-17,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
306,306,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
307,307,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
308,308,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
309,309,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
310,310,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
311,311,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
312,312,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
313,313,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
314,314,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
315,315,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
316,316,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
317,317,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
318,318,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
319,319,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
320,320,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
321,321,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
322,322,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
323,323,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
324,324,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
325,325,2025-10-18,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
326,326,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
327,327,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
328,328,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
329,329,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
330,330,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
331,331,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
332,332,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
333,333,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
334,334,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
335,335,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
336,336,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
337,337,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
338,338,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
339,339,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
340,340,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
341,341,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
342,342,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
343,343,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
344,344,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
345,345,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
346,346,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
347,347,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
348,348,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
349,349,2025-10-19,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
350,350,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
351,351,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
352,352,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
353,353,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
354,354,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
355,355,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
356,356,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
357,357,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
358,358,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
359,359,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
360,360,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
361,361,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
362,362,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
363,363,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
364,364,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
365,365,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
366,366,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
367,367,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
368,368,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
369,369,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
370,370,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
371,371,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
372,372,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
373,373,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
374,374,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
375,375,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
376,376,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
377,377,2025-10-20,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
378,378,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
379,379,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
380,380,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
381,381,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
382,382,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
383,383,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
384,384,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
385,385,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
386,386,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
387,387,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
388,388,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
389,389,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
390,390,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
391,391,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
392,392,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
393,393,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
394,394,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
395,395,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
396,396,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
397,397,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
398,398,2025-10-21,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
399,399,2025-10-22,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
400,400,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
401,401,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
402,402,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
403,403,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
404,404,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
405,405,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
406,406,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
407,407,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
408,408,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
409,409,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
410,410,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
411,411,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
412,412,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
413,413,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
414,414,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
415,415,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
416,416,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
417,417,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
418,418,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
419,419,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
420,420,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
421,421,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
422,422,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
423,423,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
424,424,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
425,425,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
426,426,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
427,427,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
428,428,2025-10-23,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
429,429,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
430,430,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
431,431,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
432,432,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
433,433,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
434,434,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
435,435,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
436,436,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
437,437,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
438,438,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
439,439,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
440,440,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
441,441,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
442,442,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
443,443,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
444,444,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
445,445,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
446,446,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
447,447,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
448,448,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
449,449,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
450,450,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
451,451,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
452,452,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
453,453,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
454,454,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
455,455,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
456,456,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
457,457,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
458,458,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
459,459,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
460,460,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
461,461,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
462,462,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
463,463,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
464,464,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
465,465,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
466,466,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
467,467,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
468,468,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
469,469,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
470,470,2025-10-24,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
471,471,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
472,472,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
473,473,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
474,474,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
475,475,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
476,476,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
477,477,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
478,478,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
479,479,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
480,480,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
481,481,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
482,482,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
483,483,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
484,484,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
485,485,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
486,486,2025-10-25,7 połabska,09:00:00,09:30:00,00:30:00,ogrody OGDY42,kórnicka KORN45,19
